collision_index,food_density
2025010555282,5
2025010555285,400
2025010555288,13
2025010555290,15
2025010555291,47
2025010555295,22
2025010555296,13
2025010555298,65
2025010555302,33
2025010555307,1
2025010555310,1
2025010555318,11
2025010555320,61
2025010555328,64
2025010555331,1
2025010555336,7
2025010555341,14
2025010555348,12
2025010555355,130
2025010555360,93
2025010555361,19
2025010555374,12
2025010555380,55
2025010555398,41
2025010555404,11
2025010555406,8
2025010555413,8
2025010555428,32
2025010555429,46
2025010555433,4
2025010555442,45
2025010555444,1
2025010555445,1
2025010555446,24
2025010555456,8
2025010555460,70
2025010555462,1
2025010555464,23
2025010555465,5
2025010555466,61
2025010555475,2
2025010555500,1
2025010555505,5
2025010555507,15
2025010555520,41
2025010555524,1
2025010555535,1
2025010555552,57
2025010555564,84
2025010555573,1
2025010555583,45
2025010555589,47
2025010555594,8
2025010555601,4
2025010555605,74
2025010555619,11
2025010555636,45
2025010555642,1
2025010555644,1
2025010555648,1
2025010555651,4
2025010555659,36
2025010555667,45
2025010555669,1
2025010555670,31
2025010555680,30
2025010555686,2
2025010555687,59
2025010555703,1
2025010555704,10
2025010555705,29
2025010555708,29
2025010555711,29
2025010555719,1
2025010555724,28
2025010555744,25
2025010555788,1
2025010555793,1
2025010555794,29
2025010555811,28
2025010555813,1
2025010555816,1
2025010555819,29
2025010555822,1
2025010555828,440
2025010555835,27
2025010555856,74
2025010555857,30
2025010555864,38
2025010555868,1
2025010555873,22
2025010555887,59
2025010555918,3
2025010555926,2
2025010555957,28
2025010555959,1
2025010555986,65
2025010555987,59
2025010555991,36
2025010556005,10
2025010556007,66
2025010556022,8
2025010556031,10
2025010556056,4
2025010556058,41
2025010556059,59
2025010556101,6
2025010556113,13
2025010556135,30
2025010556151,4
2025010556153,5
2025010556154,8
2025010556156,5
2025010556164,1
2025010556168,8
2025010556173,1
2025010556180,1
2025010556193,13
2025010556202,4
2025010556205,9
2025010556215,2
2025010556240,109
2025010556242,42
2025010556254,14
2025010556255,58
2025010556265,1
2025010556269,26
2025010556284,49
2025010556291,29
2025010556293,37
2025010556303,10
2025010556314,74
2025010556318,1
2025010556323,6
2025010556332,14
2025010556339,23
2025010556354,1
2025010556363,15
2025010556364,19
2025010556368,1
2025010556369,1
2025010556370,1
2025010556375,47
2025010556379,49
2025010556387,4
2025010556389,22
2025010556397,1
2025010556406,49
2025010556414,26
2025010556420,1
2025010556421,2
2025010556422,15
2025010556427,34
2025010556431,121
2025010556462,1
2025010556477,26
2025010556480,9
2025010556487,14
2025010556502,5
2025010556503,16
2025010556506,8
2025010556508,13
2025010556509,1
2025010556510,2
2025010556512,25
2025010556526,13
2025010556529,9
2025010556535,10
2025010556538,69
2025010556541,14
2025010556547,11
2025010556548,2
2025010556549,40
2025010556568,107
2025010556571,23
2025010556580,13
2025010556584,4
2025010556590,1
2025010556595,17
2025010556612,10
2025010556613,51
2025010556615,26
2025010556618,19
2025010556619,9
2025010556628,73
2025010556634,8
2025010556637,1
2025010556639,119
2025010556656,12
2025010556660,29
2025010556663,56
2025010556669,1
2025010556673,12
2025010556678,57
2025010556681,10
2025010556688,2
2025010556692,28
2025010556704,11
2025010556705,47
2025010556717,2
2025010556722,7
2025010556726,7
2025010556732,4
2025010556736,4
2025010556742,115
2025010556747,26
2025010556750,14
2025010556751,4
2025010556762,8
2025010556767,90
2025010556779,15
2025010556794,10
2025010556797,27
2025010556805,30
2025010556807,17
2025010556809,11
2025010556817,28
2025010556837,8
2025010556847,74
2025010556860,101
2025010556866,29
2025010556901,99
2025010556905,29
2025010556920,39
2025010556937,1
2025010556939,24
2025010556948,1
2025010556955,52
2025010556976,34
2025010556982,1
2025010556987,102
2025010556991,26
2025010557015,1
2025010557026,17
2025010557044,1
2025010557049,13
2025010557052,6
2025010557054,1
2025010557057,6
2025010557060,12
2025010557065,17
2025010557071,1
2025010557072,12
2025010557075,7
2025010557078,2
2025010557080,4
2025010557094,2
2025010557099,4
2025010557112,52
2025010557114,131
2025010557115,1
2025010557121,90
2025010557130,9
2025010557166,55
2025010557170,9
2025010557176,19
2025010557177,27
2025010557185,22
2025010557187,69
2025010557195,2
2025010557203,1
2025010557208,1
2025010557220,3
2025010557242,6
2025010557250,6
2025010557254,1
2025010557257,1
2025010557268,32
2025010557274,10
2025010557275,8
2025010557279,23
2025010557296,15
2025010557304,26
2025010557314,66
2025010557322,1
2025010557342,1
2025010557346,26
2025010557360,23
2025010557362,2
2025010557363,110
2025010557365,25
2025010557371,31
2025010557372,2
2025010557377,1
2025010557378,39
2025010557380,1
2025010557383,59
2025010557414,5
2025010557424,29
2025010557426,4
2025010557442,1
2025010557447,1
2025010557449,4
2025010557454,78
2025010557465,3
2025010557466,17
2025010557481,7
2025010557488,1
2025010557503,6
2025010557548,11
2025010557561,5
2025010557575,11
2025010557579,6
2025010557587,104
2025010557590,1
2025010557600,72
2025010557602,11
2025010557607,21
2025010557610,1
2025010557625,14
2025010557635,1
2025010557639,58
2025010557649,1
2025010557654,69
2025010557659,2
2025010557662,11
2025010557665,15
2025010557668,4
2025010557673,1
2025010557683,89
2025010557686,16
2025010557698,1
2025010557708,7
2025010557724,2
2025010557726,73
2025010557727,3
2025010557731,19
2025010557733,2
2025010557738,28
2025010557748,13
2025010557754,5
2025010557767,18
2025010557769,2
2025010557778,97
2025010557792,9
2025010557812,13
2025010557815,4
2025010557817,2
2025010557822,76
2025010557827,3
2025010557828,75
2025010557831,22
2025010557838,3
2025010557841,2
2025010557856,100
2025010557865,9
2025010557869,1
2025010557878,92
2025010557883,30
2025010557886,1
2025010557892,24
2025010557899,1
2025010557906,15
2025010557907,1
2025010557913,1
2025010557920,41
2025010557922,4
2025010557927,2
2025010557928,1
2025010557931,4
2025010557935,4
2025010557946,4
2025010557947,38
2025010557950,2
2025010557954,8
2025010557955,59
2025010557971,15
2025010557973,22
2025010557998,28
2025010558009,41
2025010558013,24
2025010558015,1
2025010558020,16
2025010558021,67
2025010558024,3
2025010558035,26
2025010558037,2
2025010558040,1
2025010558041,53
2025010558057,33
2025010558063,1
2025010558081,8
2025010558090,23
2025010558092,6
2025010558093,1
2025010558095,4
2025010558101,1
2025010558105,1
2025010558108,1
2025010558118,19
2025010558127,42
2025010558136,3
2025010558137,8
2025010558146,7
2025010558159,56
2025010558216,77
2025010558248,6
2025010558260,2
2025010558270,33
2025010558275,20
2025010558282,13
2025010558285,1
2025010558286,1
2025010558287,99
2025010558288,5
2025010558324,1
2025010558328,3
2025010558330,1
2025010558346,12
2025010558349,1
2025010558366,9
2025010558370,45
2025010558373,169
2025010558376,57
2025010558388,61
2025010558400,73
2025010558401,4
2025010558407,10
2025010558423,50
2025010558424,14
2025010558451,15
2025010558457,20
2025010558482,1
2025010558489,1
2025010558499,39
2025010558502,24
2025010558512,11
2025010558514,4
2025010558529,20
2025010558561,6
2025010558564,1
2025010558565,66
2025010558570,29
2025010558577,2
2025010558588,113
2025010558608,98
2025010558613,1
2025010558644,1
2025010558659,48
2025010558661,33
2025010558667,257
2025010558668,40
2025010558669,46
2025010558671,34
2025010558672,10
2025010558675,36
2025010558704,21
2025010558708,37
2025010558715,4
2025010558721,1
2025010558726,1
2025010558739,16
2025010558760,1
2025010558768,2
2025010558777,28
2025010558780,27
2025010558782,31
2025010558797,1
2025010558816,30
2025010558819,44
2025010558822,25
2025010558836,29
2025010558843,5
2025010558847,6
2025010558854,1
2025010558863,11
2025010558866,105
2025010558868,13
2025010558871,13
2025010558877,12
2025010558891,74
2025010558892,60
2025010558893,1
2025010558895,69
2025010558897,1
2025010558907,2
2025010558913,13
2025010558926,28
2025010558934,65
2025010558938,1
2025010558939,21
2025010558953,7
2025010558960,120
2025010558961,1
2025010558976,25
2025010558979,4
2025010558992,12
2025010558993,4
2025010559001,12
2025010559016,19
2025010559019,75
2025010559022,94
2025010559035,24
2025010559044,39
2025010559045,1
2025010559047,1
2025010559050,21
2025010559074,4
2025010559080,5
2025010559081,1
2025010559087,3
2025010559090,40
2025010559091,41
2025010559095,36
2025010559100,2
2025010559108,7
2025010559111,15
2025010559119,6
2025010559134,8
2025010559139,17
2025010559141,50
2025010559152,24
2025010559176,12
2025010559177,125
2025010559180,47
2025010559185,63
2025010559187,1
2025010559190,43
2025010559192,12
2025010559195,21
2025010559213,27
2025010559223,10
2025010559242,1
2025010559245,3
2025010559249,19
2025010559253,57
2025010559260,4
2025010559262,26
2025010559272,9
2025010559279,468
2025010559280,1
2025010559283,1
2025010559295,81
2025010559299,78
2025010559300,1
2025010559301,2
2025010559305,1
2025010559306,11
2025010559308,5
2025010559313,1
2025010559319,35
2025010559339,4
2025010559343,3
2025010559345,13
2025010559355,4
2025010559362,1
2025010559381,1
2025010559391,13
2025010559396,49
2025010559399,11
2025010559402,5
2025010559405,41
2025010559410,100
2025010559413,73
2025010559418,38
2025010559420,2
2025010559439,1
2025010559442,57
2025010559472,11
2025010559479,104
2025010559480,18
2025010559486,2
2025010559487,12
2025010559491,15
2025010559499,1
2025010559524,1
2025010559526,5
2025010559530,72
2025010559543,1
2025010559546,36
2025010559556,15
2025010559565,10
2025010559566,16
2025010559576,38
2025010559585,25
2025010559586,4
2025010559595,14
2025010559598,6
2025010559600,14
2025010559603,4
2025010559605,10
2025010559607,22
2025010559613,9
2025010559620,121
2025010559629,20
2025010559636,45
2025010559644,3
2025010559647,23
2025010559652,25
2025010559655,6
2025010559662,31
2025010559664,1
2025010559665,49
2025010559678,12
2025010559679,7
2025010559680,41
2025010559684,92
2025010559706,40
2025010559711,1
2025010559712,13
2025010559714,45
2025010559721,108
2025010559730,44
2025010559745,38
2025010559758,28
2025010559763,52
2025010559764,1
2025010559769,20
2025010559779,5
2025010559791,2
2025010559795,6
2025010559799,16
2025010559820,5
2025010559822,19
2025010559826,28
2025010559836,73
2025010559844,12
2025010559849,13
2025010559851,103
2025010559862,1
2025010559869,4
2025010559874,6
2025010559877,22
2025010559878,6
2025010559880,1
2025010559882,2
2025010559886,61
2025010559889,18
2025010559890,26
2025010559893,4
2025010559907,14
2025010559908,7
2025010559910,3
2025010559913,23
2025010559925,90
2025010559938,9
2025010559943,5
2025010559948,82
2025010559957,1
2025010559980,45
2025010559981,50
2025010559988,1
2025010559992,4
2025010559996,460
2025010560003,10
2025010560005,1
2025010560009,31
2025010560019,50
2025010560021,33
2025010560026,2
2025010560040,48
